"","min","start","feeder"
"1",5.51148333333333,"start","medium"
"3",6.84621666666667,"stop",""
"4",7.31691666666667,"start","medium"
"5",7.64688333333333,"stop",""
"6",8.8954,"start","inside nest"
"7",14.9763,"stop",""
"8",15.2608,"start","tandem run"
"9",16.6793666666667,"stop",""
"10",18.2698333333333,"start","medium"
"12",20.0933166666667,"stop",""
"13",21.0902666666667,"start","inside nest"
"14",25.5052,"stop",""
"15",25.5223666666667,"start","tandem run"
"16",26.72495,"start","medium"
"18",28.5343333333333,"stop",""
"19",29.32875,"start","inside nest"
"20",33.5479666666667,"stop",""
"21",33.562,"start","tandem run"
"22",35.5748333333333,"start","medium"
"24",37.3361,"stop",""
"25",39.2719,"start","inside nest"
"26",44.7002333333333,"stop",""
"27",44.8154166666667,"start","tandem run"
"28",46.376,"start","medium"
"30",48.2712333333333,"stop",""
"31",49.39655,"start","inside nest"
"32",53.80645,"stop",""
"33",53.8247166666667,"start","tandem run"
"34",55.5951833333333,"stop",""
"35",56.00715,"start","medium"
"37",57.7709333333333,"stop",""
"38",58.01605,"start","medium"
"39",58.1013333333333,"stop",""
"40",59.2921,"start","inside nest"
"41",63.4372833333333,"stop",""
"42",63.4745333333333,"start","tandem run"
"43",64.9442833333333,"switch","switch"
"44",65.4006166666667,"start","medium"
"46",67.1293833333333,"stop",""
"47",67.8647333333333,"start","inside nest"
"48",71.46265,"stop",""
"49",71.4742,"start","tandem run"
"50",73.0455666666667,"start","medium"
"52",73.1724666666667,"stop",""
"53",74.18265,"start","medium"
"54",76.0461333333333,"stop",""
"55",76.661,"start","inside nest"
"56",79.9217166666667,"stop",""
"57",80.6526833333333,"start","medium"
"59",82.5267333333333,"stop",""
"60",84.5997833333333,"start","inside nest"
"61",88.9016,"stop",""
"62",89.7498166666667,"start","medium"
"64",91.5187666666667,"stop",""
"65",92.1963,"start","medium"
"66",94.3210333333333,"stop",""
"67",94.7344166666667,"start","medium"
"68",95.6644,"stop",""
"69",97.0679,"start","inside nest"
"70",99.7212333333333,"stop",""
"71",99.7761833333333,"start","tandem run"
"72",100.94625,"stop",""
"73",102.27875,"start","medium"
"75",102.42785,"stop",""
"76",102.979733333333,"start","medium"
"77",104.312466666667,"stop",""
"78",104.593333333333,"start","medium"
"79",104.677283333333,"stop",""
"80",105.144366666667,"start","medium"
"81",105.7481,"stop",""
"82",107.722083333333,"start","medium"
"84",107.9168,"stop",""
"85",110.50525,"start","medium"
"86",110.55035,"stop",""
"87",111.942983333333,"start","inside nest"
"88",115.96265,"stop",""
"89",118.9993,"start","medium"
"91",119.070116666667,"stop",""
"92",119.179816666667,"start","medium"
"93",119.855083333333,"stop",""
"94",120.183733333333,"start","medium"
"95",121.55115,"stop",""
"96",122.639333333333,"start","medium"
"97",123.2812,"stop",""
"98",124.485383333333,"start","inside nest"
