"time","feeder","event","minutes"
12:00:00 AM,1,"best",0
12:00:00 AM,2,"poor",0
12:00:00 AM,3,"good",0
12:01:12 AM,3,"start",1.2
12:01:22 AM,2,"start",1.37
12:01:27 AM,2,"start",1.45
12:01:41 AM,3,"start",1.68
12:01:42 AM,2,"start",1.7
12:01:53 AM,2,"start",1.88
12:02:07 AM,2,"start",2.12
12:02:40 AM,3,"start",2.67
12:03:24 AM,1,"start",3.4
12:03:29 AM,1,"start",3.48
12:03:39 AM,3,"start",3.65
12:03:50 AM,1,"start",3.83
12:03:59 AM,3,"start",3.98
12:04:40 AM,2,"start",4.67
12:05:48 AM,3,"start",5.8
12:06:01 AM,3,"start",6.02
12:06:51 AM,3,"start",6.85
12:07:07 AM,3,"start",7.12
12:07:09 AM,1,"start",7.15
12:07:43 AM,3,"start",7.72
12:08:59 AM,2,"start",8.98
12:09:03 AM,2,"start",9.05
12:09:39 AM,3,"start",9.65
12:09:42 AM,2,"start",9.7
12:09:43 AM,3,"start",9.72
12:10:10 AM,2,"start",10.17
12:10:50 AM,3,"start",10.83
12:11:51 AM,2,"start",11.85
12:12:16 AM,1,"start",12.27
12:13:03 AM,2,"start",13.05
12:13:16 AM,1,"start",13.27
12:13:24 AM,3,"start",13.4
12:13:35 AM,3,"start",13.58
12:13:38 AM,3,"start",13.63
12:14:00 AM,3,"start",14
12:14:12 AM,3,"start",14.2
12:14:58 AM,3,"start",14.97
12:15:47 AM,3,"start",15.78
12:15:51 AM,3,"start",15.85
12:15:51 AM,3,"start",15.85
12:17:34 AM,3,"start",17.57
12:17:45 AM,3,"start",17.75
12:18:07 AM,1,"start",18.12
12:18:09 AM,3,"tandem",18.15
12:19:02 AM,1,"switch",19.03
12:19:23 AM,3,"start",19.38
12:19:39 AM,3,"start",19.65
12:19:43 AM,3,"start",19.72
12:20:00 AM,3,"start",20
12:20:05 AM,3,"start",20.08
12:20:31 AM,3,"start",20.52
12:20:36 AM,3,"start",20.6
12:20:39 AM,3,"start",20.65
12:20:39 AM,3,"start",20.65
12:21:27 AM,3,"start",21.45
12:21:51 AM,3,"start",21.85
12:22:10 AM,3,"start",22.17
12:22:21 AM,1,"start",22.35
12:22:28 AM,3,"start",22.47
12:22:37 AM,1,"start",22.62
12:23:24 AM,3,"start",23.4
12:24:01 AM,3,"start",24.02
12:24:29 AM,3,"start",24.48
12:24:43 AM,3,"start",24.72
12:24:59 AM,3,"tandem",24.98
12:25:15 AM,3,"start",25.25
12:25:50 AM,3,"start",25.83
12:25:52 AM,3,"start",25.87
12:25:54 AM,3,"start",25.9
12:26:09 AM,3,"start",26.15
12:26:15 AM,3,"start",26.25
12:26:16 AM,3,"tandem",26.27
12:26:23 AM,2,"start",26.38
12:26:41 AM,3,"start",26.68
12:26:51 AM,3,"start",26.85
12:26:58 AM,1,"start",26.97
12:27:58 AM,2,"start",27.97
12:28:16 AM,3,"start",28.27
12:28:41 AM,3,"start",28.68
12:29:08 AM,3,"start",29.13
12:29:14 AM,3,"start",29.23
12:29:27 AM,2,"start",29.45
12:30:21 AM,3,"start",30.35
12:30:35 AM,3,"start",30.58
12:31:06 AM,3,"start",31.1
12:31:19 AM,3,"start",31.32
12:31:23 AM,1,"start",31.38
12:31:23 AM,2,"start",31.38
12:32:31 AM,3,"start",32.52
12:32:34 AM,3,"start",32.57
12:32:39 AM,3,"start",32.65
12:33:11 AM,3,"start",33.18
12:33:33 AM,3,"start",33.55
12:33:37 AM,3,"start",33.62
12:33:45 AM,3,"tandem",33.75
12:33:52 AM,3,"start",33.87
12:34:25 AM,3,"start",34.42
12:34:28 AM,3,"start",34.47
12:35:33 AM,3,"start",35.55
12:35:33 AM,3,"start",35.55
12:35:48 AM,3,"start",35.8
12:35:52 AM,3,"tandem",35.87
12:36:08 AM,3,"start",36.13
12:36:39 AM,3,"start",36.65
12:36:46 AM,3,"start",36.77
12:36:55 AM,3,"start",36.92
12:36:59 AM,3,"start",36.98
12:37:20 AM,3,"start",37.33
12:37:41 AM,3,"start",37.68
12:38:24 AM,3,"start",38.4
12:38:52 AM,3,"start",38.87
12:38:53 AM,3,"start",38.88
12:38:55 AM,3,"start",38.92
12:39:03 AM,3,"start",39.05
12:39:21 AM,3,"start",39.35
12:40:18 AM,1,"start",40.3
12:40:55 AM,3,"start",40.92
12:41:24 AM,3,"start",41.4
12:41:37 AM,3,"tandem",41.62
12:42:04 AM,3,"start",42.07
12:42:06 AM,3,"start",42.1
12:42:14 AM,3,"start",42.23
12:42:22 AM,3,"start",42.37
12:42:39 AM,3,"start",42.65
12:43:05 AM,3,"start",43.08
12:43:15 AM,3,"tandem",43.25
12:43:30 AM,3,"start",43.5
12:43:43 AM,3,"start",43.72
12:43:48 AM,3,"start",43.8
12:43:48 AM,3,"start",43.8
12:44:33 AM,3,"start",44.55
12:44:58 AM,3,"start",44.97
12:45:31 AM,3,"start",45.52
12:45:48 AM,3,"start",45.8
12:45:48 AM,3,"start",45.8
12:45:59 AM,3,"start",45.98
12:46:27 AM,3,"start",46.45
12:47:14 AM,3,"start",47.23
12:47:17 AM,3,"start",47.28
12:47:59 AM,3,"start",47.98
12:49:24 AM,3,"start",49.4
12:49:48 AM,3,"start",49.8
12:50:00 AM,3,"start",50
12:50:28 AM,3,"start",50.47
12:50:43 AM,3,"start",50.72
12:50:58 AM,3,"start",50.97
12:51:50 AM,3,"start",51.83
12:52:07 AM,3,"start",52.12
12:52:50 AM,3,"start",52.83
12:52:50 AM,3,"start",52.83
12:53:10 AM,3,"start",53.17
12:53:17 AM,3,"start",53.28
12:53:24 AM,3,"start",53.4
12:53:44 AM,3,"start",53.73
12:54:15 AM,3,"start",54.25
12:54:20 AM,3,"start",54.33
12:54:23 AM,3,"start",54.38
12:54:38 AM,3,"start",54.63
12:54:55 AM,3,"start",54.92
12:55:03 AM,3,"start",55.05
12:56:19 AM,3,"start",56.32
12:56:44 AM,3,"start",56.73
12:56:58 AM,3,"start",56.97
12:57:11 AM,3,"start",57.18
12:57:37 AM,3,"start",57.62
12:58:07 AM,2,"start",58.12
12:58:34 AM,3,"start",58.57
12:58:44 AM,3,"start",58.73
12:59:13 AM,3,"start",59.22
12:59:21 AM,3,"start",59.35
12:59:26 AM,3,"start",59.43
12:59:31 AM,3,"start",59.52
12:59:36 AM,3,"start",59.6
12:59:38 AM,3,"start",59.63
01:00:12 AM,3,"start",60.2
01:00:16 AM,3,"start",60.27
